Continente;Paises;Numero de Medicos;dateRep;day;month;year;cases;deaths
Oceania;Australia;105293;29/7/2020;29;7;2020;369;6
Oceania;Australia;105293;28/7/2020;28;7;2020;532;6
Oceania;Australia;105293;27/7/2020;27;7;2020;453;10
Oceania;Australia;105293;26/7/2020;26;7;2020;355;6
Oceania;Australia;105293;25/7/2020;25;7;2020;289;6
Oceania;Australia;105293;24/7/2020;24;7;2020;410;5
Oceania;Australia;105293;23/7/2020;23;7;2020;468;2
Oceania;Australia;105293;22/7/2020;22;7;2020;359;3
Oceania;Australia;105293;21/7/2020;21;7;2020;267;1
Oceania;Australia;105293;20/7/2020;20;7;2020;361;4
Oceania;Australia;105293;19/7/2020;19;7;2020;206;2
Oceania;Australia;105293;18/7/2020;18;7;2020;425;3
Oceania;Australia;105293;17/7/2020;17;7;2020;315;2
Oceania;Australia;105293;16/7/2020;16;7;2020;244;3
Oceania;Australia;105293;15/7/2020;15;7;2020;271;0
Oceania;Australia;105293;14/7/2020;14;7;2020;183;0
Oceania;Australia;105293;13/7/2020;13;7;2020;244;1
Oceania;Australia;105293;12/7/2020;12;7;2020;194;1
Oceania;Australia;105293;11/7/2020;11;7;2020;300;0
Oceania;Australia;105293;10/7/2020;10;7;2020;173;0
Oceania;Australia;105293;9/7/2020;9;7;2020;131;0
Oceania;Australia;105293;8/7/2020;8;7;2020;169;0
Oceania;Australia;105293;7/7/2020;7;7;2020;137;2
Oceania;Australia;105293;6/7/2020;6;7;2020;87;0
Oceania;Australia;105293;5/7/2020;5;7;2020;107;0
Oceania;Australia;105293;4/7/2020;4;7;2020;254;0
Oceania;Australia;105293;3/7/2020;3;7;2020;81;0
Oceania;Australia;105293;2/7/2020;2;7;2020;86;0
Oceania;Australia;105293;1/7/2020;1;7;2020;67;0
Oceania;Australia;105293;30/6/2020;30;6;2020;81;0
Oceania;Australia;105293;29/6/2020;29;6;2020;45;0
Oceania;Australia;105293;28/6/2020;28;6;2020;46;0
Oceania;Australia;105293;27/6/2020;27;6;2020;37;0
Oceania;Australia;105293;26/6/2020;26;6;2020;37;1
Oceania;Australia;105293;25/6/2020;25;6;2020;29;1
Oceania;Australia;105293;24/6/2020;24;6;2020;18;0
Oceania;Australia;105293;23/6/2020;23;6;2020;13;0
Oceania;Australia;105293;22/6/2020;22;6;2020;25;0
Oceania;Australia;105293;21/6/2020;21;6;2020;27;0
Oceania;Australia;105293;20/6/2020;20;6;2020;18;0
Oceania;Australia;105293;19/6/2020;19;6;2020;21;0
Oceania;Australia;105293;18/6/2020;18;6;2020;23;0
Oceania;Australia;105293;17/6/2020;17;6;2020;12;0
Oceania;Australia;105293;16/6/2020;16;6;2020;15;0
Oceania;Australia;105293;15/6/2020;15;6;2020;18;0
Oceania;Australia;105293;14/6/2020;14;6;2020;12;0
Oceania;Australia;105293;13/6/2020;13;6;2020;5;0
Oceania;Australia;105293;12/6/2020;12;6;2020;9;0
Oceania;Australia;105293;11/6/2020;11;6;2020;9;0
Oceania;Australia;105293;10/6/2020;10;6;2020;2;0
Oceania;Australia;105293;9/6/2020;9;6;2020;5;0
Oceania;Australia;105293;8/6/2020;8;6;2020;5;0
Oceania;Australia;105293;7/6/2020;7;6;2020;4;0
Oceania;Australia;105293;6/6/2020;6;6;2020;11;0
Oceania;Australia;105293;5/6/2020;5;6;2020;11;0
Oceania;Australia;105293;4/6/2020;4;6;2020;8;0
Oceania;Australia;105293;3/6/2020;3;6;2020;17;0
Oceania;Australia;105293;2/6/2020;2;6;2020;9;0
Oceania;Australia;105293;1/6/2020;1;6;2020;10;0
Oceania;Australia;105293;31/5/2020;31;5;2020;12;0
Oceania;Australia;105293;30/5/2020;30;5;2020;23;0
Oceania;Australia;105293;29/5/2020;29;5;2020;11;0
Oceania;Australia;105293;28/5/2020;28;5;2020;6;0
Oceania;Australia;105293;27/5/2020;27;5;2020;15;0
Oceania;Australia;105293;26/5/2020;26;5;2020;9;0
Oceania;Australia;105293;25/5/2020;25;5;2020;3;0
Oceania;Australia;105293;24/5/2020;24;5;2020;11;1
Oceania;Australia;105293;23/5/2020;23;5;2020;14;1
Oceania;Australia;105293;22/5/2020;22;5;2020;2;0
Oceania;Australia;105293;21/5/2020;21;5;2020;11;1
Oceania;Australia;105293;20/5/2020;20;5;2020;8;0
Oceania;Australia;105293;19/5/2020;19;5;2020;15;1
Oceania;Australia;105293;18/5/2020;18;5;2020;9;0
Oceania;Australia;105293;17/5/2020;17;5;2020;17;0
Oceania;Australia;105293;16/5/2020;16;5;2020;30;0
Oceania;Australia;105293;15/5/2020;15;5;2020;14;0
Oceania;Australia;105293;14/5/2020;14;5;2020;11;1
Oceania;Australia;105293;13/5/2020;13;5;2020;16;0
Oceania;Australia;105293;12/5/2020;12;5;2020;7;0
Oceania;Australia;105293;11/5/2020;11;5;2020;12;0
Oceania;Australia;105293;10/5/2020;10;5;2020;15;0
Oceania;Australia;105293;9/5/2020;9;5;2020;18;0
Oceania;Australia;105293;8/5/2020;8;5;2020;21;0
Oceania;Australia;105293;7/5/2020;7;5;2020;26;1
Oceania;Australia;105293;6/5/2020;6;5;2020;24;1
Oceania;Australia;105293;5/5/2020;5;5;2020;24;0
Oceania;Australia;105293;4/5/2020;4;5;2020;18;2
Oceania;Australia;105293;3/5/2020;3;5;2020;16;0
Oceania;Australia;105293;2/5/2020;2;5;2020;5;1
Oceania;Australia;105293;1/5/2020;1;5;2020;16;2
Oceania;Australia;105293;30/4/2020;30;4;2020;8;2
Oceania;Australia;105293;29/4/2020;29;4;2020;13;4
Oceania;Australia;105293;28/4/2020;28;4;2020;12;1
Oceania;Australia;105293;27/4/2020;27;4;2020;10;2
Oceania;Australia;105293;26/4/2020;26;4;2020;16;2
Oceania;Australia;105293;25/4/2020;25;4;2020;20;4
Oceania;Australia;105293;24/4/2020;24;4;2020;13;1
Oceania;Australia;105293;23/4/2020;23;4;2020;7;0
Oceania;Australia;105293;22/4/2020;22;4;2020;22;3
Oceania;Australia;105293;21/4/2020;21;4;2020;13;1
Oceania;Australia;105293;20/4/2020;20;4;2020;26;1
Oceania;Australia;105293;19/4/2020;19;4;2020;53;2
Oceania;Australia;105293;18/4/2020;18;4;2020;36;4
Oceania;Australia;105293;17/4/2020;17;4;2020;39;0
Oceania;Australia;105293;16/4/2020;16;4;2020;42;2
Oceania;Australia;105293;15/4/2020;15;4;2020;50;0
Oceania;Australia;105293;14/4/2020;14;4;2020;44;0
Oceania;Australia;105293;13/4/2020;13;4;2020;33;4
Oceania;Australia;105293;12/4/2020;12;4;2020;51;3
Oceania;Australia;105293;11/4/2020;11;4;2020;86;2
Oceania;Australia;105293;10/4/2020;10;4;2020;100;2
Oceania;Australia;105293;9/4/2020;9;4;2020;96;5
Oceania;Australia;105293;8/4/2020;8;4;2020;112;3
Oceania;Australia;105293;7/4/2020;7;4;2020;100;6
Oceania;Australia;105293;6/4/2020;6;4;2020;57;2
Oceania;Australia;105293;5/4/2020;5;4;2020;139;4
Oceania;Australia;105293;4/4/2020;4;4;2020;324;7
Oceania;Australia;105293;3/4/2020;3;4;2020;248;2
Oceania;Australia;105293;2/4/2020;2;4;2020;269;1
Oceania;Australia;105293;1/4/2020;1;4;2020;150;1
Oceania;Australia;105293;31/3/2020;31;3;2020;464;3
Oceania;Australia;105293;30/3/2020;30;3;2020;284;2
Oceania;Australia;105293;29/3/2020;29;3;2020;431;1
Oceania;Australia;105293;28/3/2020;28;3;2020;212;0
Oceania;Australia;105293;27/3/2020;27;3;2020;367;2
Oceania;Australia;105293;26/3/2020;26;3;2020;376;3
Oceania;Australia;105293;25/3/2020;25;3;2020;600;1
Oceania;Australia;105293;24/3/2020;24;3;2020;114;0
Oceania;Australia;105293;23/3/2020;23;3;2020;611;0
Oceania;Australia;105293;22/3/2020;22;3;2020;224;0
Oceania;Australia;105293;21/3/2020;21;3;2020;165;1
Oceania;Australia;105293;20/3/2020;20;3;2020;144;0
Oceania;Australia;105293;19/3/2020;19;3;2020;111;1
Oceania;Australia;105293;18/3/2020;18;3;2020;79;0
Oceania;Australia;105293;17/3/2020;17;3;2020;77;0
Oceania;Australia;105293;16/3/2020;16;3;2020;49;2
Oceania;Australia;105293;15/3/2020;15;3;2020;52;0
Oceania;Australia;105293;14/3/2020;14;3;2020;41;0
Oceania;Australia;105293;13/3/2020;13;3;2020;30;0
Oceania;Australia;105293;12/3/2020;12;3;2020;14;0
Oceania;Australia;105293;11/3/2020;11;3;2020;12;0
